| end of epoch  83 | time:  8.21s | valid loss  8.96 | valid ppl  7768.98
| end of epoch  84 | time:  8.23s | valid loss 11.79 | valid ppl 131831.41
| end of epoch  85 | time:  8.21s | valid loss  9.66 | valid ppl 15746.65
| end of epoch  86 | time:  8.22s | valid loss  9.43 | valid ppl 12471.10
| end of epoch  87 | time:  8.22s | valid loss  9.51 | valid ppl 13448.50
| end of epoch  88 | time:  8.22s | valid loss  9.83 | valid ppl 18571.66
| end of epoch  89 | time:  8.21s | valid loss 10.72 | valid ppl 45265.17
| end of epoch  90 | time:  8.24s | valid loss  9.05 | valid ppl  8509.27
| end of epoch  91 | time:  8.19s | valid loss  8.80 | valid ppl  6636.73
| end of epoch  92 | time:  8.23s | valid loss  9.21 | valid ppl  9972.71
| end of epoch  93 | time:  8.23s | valid loss 11.52 | valid ppl 101037.91
| end of epoch  94 | time:  8.25s | valid loss  9.18 | valid ppl  9658.44
| end of epoch  95 | time:  8.22s | valid loss  9.81 | valid ppl 18301.73
| end of epoch  96 | time:  8.21s | valid loss 10.85 | valid ppl 51746.32
| end of epoch  97 | time:  8.20s | valid loss  9.34 | valid ppl 11374.50
| end of epoch  98 | time:  8.22s | valid loss  9.41 | valid ppl 12241.25
| end of epoch  99 | time:  8.26s | valid loss 11.65 | valid ppl 114275.24
| end of epoch 100 | time:  8.22s | valid loss  9.67 | valid ppl 15810.82
| end of epoch 101 | time:  8.21s | valid loss  9.23 | valid ppl 10199.12
| end of epoch 102 | time:  8.20s | valid loss  8.42 | valid ppl  4524.42
| end of epoch 103 | time:  8.20s | valid loss  8.76 | valid ppl  6358.34
| end of epoch 104 | time:  8.22s | valid loss  9.09 | valid ppl  8829.41
| end of epoch 105 | time:  8.23s | valid loss  9.55 | valid ppl 14013.17
| end of epoch 106 | time:  8.21s | valid loss  9.36 | valid ppl 11573.49
| end of epoch 107 | time:  8.20s | valid loss  8.82 | valid ppl  6763.93
| end of epoch 108 | time:  8.21s | valid loss  9.00 | valid ppl  8118.85
| end of epoch 109 | time:  8.24s | valid loss  8.88 | valid ppl  7187.44
| end of epoch 110 | time:  8.21s | valid loss  8.10 | valid ppl  3303.16
| end of epoch 111 | time:  8.21s | valid loss  9.47 | valid ppl 13024.64
| end of epoch 112 | time:  8.20s | valid loss  9.84 | valid ppl 18745.09
| end of epoch 113 | time:  8.20s | valid loss  9.17 | valid ppl  9651.85
| end of epoch 114 | time:  8.22s | valid loss  9.15 | valid ppl  9458.38
| end of epoch 115 | time:  8.26s | valid loss 10.18 | valid ppl 26425.97
| end of epoch 116 | time:  8.23s | valid loss  8.79 | valid ppl  6556.55
| end of epoch 117 | time:  8.22s | valid loss  8.73 | valid ppl  6199.66
| end of epoch 118 | time:  8.22s | valid loss  8.54 | valid ppl  5118.39
| end of epoch 119 | time:  8.20s | valid loss  8.84 | valid ppl  6874.63
| end of epoch 120 | time:  8.20s | valid loss  9.56 | valid ppl 14140.13
| end of epoch 121 | time:  8.21s | valid loss  9.30 | valid ppl 10936.75
| end of epoch 122 | time:  8.24s | valid loss  8.79 | valid ppl  6584.38
| end of epoch 123 | time:  8.23s | valid loss  9.85 | valid ppl 18932.90
| end of epoch 124 | time:  8.23s | valid loss  9.96 | valid ppl 21193.81
| end of epoch 125 | time:  8.21s | valid loss  8.94 | valid ppl  7604.98
| end of epoch 126 | time:  8.23s | valid loss  9.18 | valid ppl  9672.73
| end of epoch 127 | time:  8.25s | valid loss  9.89 | valid ppl 19827.88
| end of epoch 128 | time:  8.25s | valid loss  9.62 | valid ppl 15058.99
| end of epoch 129 | time:  8.22s | valid loss 11.36 | valid ppl 85782.78
| end of epoch 130 | time:  8.22s | valid loss  8.80 | valid ppl  6658.00
| end of epoch 131 | time:  8.21s | valid loss 10.09 | valid ppl 24176.30
| end of epoch 132 | time:  8.20s | valid loss  8.32 | valid ppl  4122.12
| end of epoch 133 | time:  8.22s | valid loss  8.27 | valid ppl  3915.75
| end of epoch 134 | time:  8.21s | valid loss  8.96 | valid ppl  7801.71
| end of epoch 135 | time:  8.23s | valid loss  9.33 | valid ppl 11319.83
| end of epoch 136 | time:  8.24s | valid loss  9.43 | valid ppl 12512.08
| end of epoch 137 | time:  8.23s | valid loss  9.12 | valid ppl  9124.12
| end of epoch 138 | time:  8.21s | valid loss  9.21 | valid ppl  9968.89
| end of epoch 139 | time:  8.21s | valid loss 10.50 | valid ppl 36232.32
| end of epoch 140 | time:  8.20s | valid loss  9.12 | valid ppl  9108.72
| end of epoch 141 | time:  8.22s | valid loss  9.05 | valid ppl  8556.81
| end of epoch 142 | time:  8.25s | valid loss  9.97 | valid ppl 21449.81
| end of epoch 143 | time:  8.24s | valid loss  9.61 | valid ppl 14880.24
| end of epoch 144 | time:  8.22s | valid loss  9.83 | valid ppl 18622.79
| end of epoch 145 | time:  8.22s | valid loss  8.92 | valid ppl  7463.05
| end of epoch 146 | time:  8.22s | valid loss  9.36 | valid ppl 11642.95
| end of epoch 147 | time:  8.23s | valid loss 10.49 | valid ppl 35894.24
| end of epoch 148 | time:  8.22s | valid loss  8.70 | valid ppl  5989.04
| end of epoch 149 | time:  8.22s | valid loss  8.38 | valid ppl  4371.64
| end of epoch 150 | time:  8.24s | valid loss  9.54 | valid ppl 13927.85
| end of epoch 151 | time:  8.22s | valid loss  8.84 | valid ppl  6933.65
| end of epoch 152 | time:  8.22s | valid loss  8.71 | valid ppl  6041.04
| end of epoch 153 | time:  8.23s | valid loss  9.87 | valid ppl 19319.88
| end of epoch 154 | time:  8.22s | valid loss  9.16 | valid ppl  9547.93
| end of epoch 155 | time:  8.21s | valid loss  9.79 | valid ppl 17861.04
| end of epoch 156 | time:  8.24s | valid loss  9.19 | valid ppl  9783.34
| end of epoch 157 | time:  8.25s | valid loss  9.70 | valid ppl 16316.27
| end of epoch 158 | time:  8.23s | valid loss  8.89 | valid ppl  7281.79
| end of epoch 159 | time:  8.22s | valid loss  9.20 | valid ppl  9921.02
| end of epoch 160 | time:  8.22s | valid loss 11.33 | valid ppl 83152.57
| end of epoch 161 | time:  8.19s | valid loss  9.47 | valid ppl 12923.11
| end of epoch 162 | time:  8.20s | valid loss  8.93 | valid ppl  7551.49
| end of epoch 163 | time:  8.23s | valid loss 10.70 | valid ppl 44338.80
| end of epoch 164 | time:  8.24s | valid loss 10.35 | valid ppl 31369.25
| end of epoch 165 | time:  8.25s | valid loss  8.78 | valid ppl  6492.06
| end of epoch 166 | time:  8.24s | valid loss 11.08 | valid ppl 64898.14
| end of epoch 167 | time:  8.23s | valid loss  8.83 | valid ppl  6844.24
| end of epoch 168 | time:  8.23s | valid loss  8.76 | valid ppl  6379.64
| end of epoch 169 | time:  8.20s | valid loss  8.78 | valid ppl  6499.45
| end of epoch 170 | time:  8.23s | valid loss 10.05 | valid ppl 23180.76
| end of epoch 171 | time:  8.25s | valid loss  9.93 | valid ppl 20603.71
| end of epoch 172 | time:  8.22s | valid loss  9.12 | valid ppl  9093.61
| end of epoch 173 | time:  8.20s | valid loss 11.28 | valid ppl 79590.80
| end of epoch 174 | time:  8.21s | valid loss  8.69 | valid ppl  5953.85
| end of epoch 175 | time:  8.24s | valid loss  9.40 | valid ppl 12066.19
| end of epoch 176 | time:  8.21s | valid loss 10.68 | valid ppl 43665.51
| end of epoch 177 | time:  8.24s | valid loss 10.43 | valid ppl 33698.42
| end of epoch 178 | time:  8.24s | valid loss  9.08 | valid ppl  8789.54
| end of epoch 179 | time:  8.22s | valid loss  9.48 | valid ppl 13054.16
| end of epoch 180 | time:  8.22s | valid loss 10.11 | valid ppl 24679.23
| end of epoch 181 | time:  8.22s | valid loss  9.75 | valid ppl 17080.52
| end of epoch 182 | time:  8.22s | valid loss  9.27 | valid ppl 10630.39
| end of epoch 183 | time:  8.20s | valid loss  9.97 | valid ppl 21288.51
| end of epoch 184 | time:  8.20s | valid loss  8.53 | valid ppl  5049.48
| end of epoch 185 | time:  8.22s | valid loss 10.67 | valid ppl 42838.67
