| end of epoch  85 | time:  8.89s | valid loss  4.53 | valid ppl    92.49
| end of epoch  86 | time:  8.89s | valid loss  4.54 | valid ppl    93.62
| end of epoch  87 | time:  8.86s | valid loss  4.47 | valid ppl    87.17
| end of epoch  88 | time:  8.85s | valid loss  4.48 | valid ppl    88.22
| end of epoch  89 | time:  8.88s | valid loss  4.62 | valid ppl   101.15
| end of epoch  90 | time:  8.87s | valid loss  4.49 | valid ppl    89.45
| end of epoch  91 | time:  8.87s | valid loss  4.52 | valid ppl    91.99
| end of epoch  92 | time:  8.87s | valid loss  4.60 | valid ppl    99.25
| end of epoch  93 | time:  8.87s | valid loss  4.58 | valid ppl    97.63
| end of epoch  94 | time:  8.89s | valid loss  4.67 | valid ppl   107.10
| end of epoch  95 | time:  8.87s | valid loss  4.53 | valid ppl    92.99
| end of epoch  96 | time:  8.87s | valid loss  4.50 | valid ppl    89.84
| end of epoch  97 | time:  8.88s | valid loss  4.48 | valid ppl    88.51
| end of epoch  98 | time:  8.87s | valid loss  4.49 | valid ppl    88.93
| end of epoch  99 | time:  8.89s | valid loss  4.54 | valid ppl    93.50
| end of epoch 100 | time:  8.89s | valid loss  4.48 | valid ppl    87.99
| end of epoch 101 | time:  8.84s | valid loss  4.48 | valid ppl    88.42
| end of epoch 102 | time:  8.88s | valid loss  4.55 | valid ppl    94.50
| end of epoch 103 | time:  8.87s | valid loss  4.48 | valid ppl    87.88
| end of epoch 104 | time:  8.87s | valid loss  4.67 | valid ppl   106.81
| end of epoch 105 | time:  8.87s | valid loss  4.47 | valid ppl    87.52
| end of epoch 106 | time:  8.90s | valid loss  4.60 | valid ppl    99.42
| end of epoch 107 | time:  8.90s | valid loss  4.61 | valid ppl   100.16
| end of epoch 108 | time:  8.88s | valid loss  4.56 | valid ppl    95.88
| end of epoch 109 | time:  8.86s | valid loss  4.55 | valid ppl    95.02
| end of epoch 110 | time:  8.87s | valid loss  4.50 | valid ppl    89.91
| end of epoch 111 | time:  8.89s | valid loss  4.48 | valid ppl    87.98
| end of epoch 112 | time:  8.90s | valid loss  4.56 | valid ppl    95.19
| end of epoch 113 | time:  8.89s | valid loss  4.52 | valid ppl    91.99
| end of epoch 114 | time:  8.88s | valid loss  4.61 | valid ppl   100.29
| end of epoch 115 | time:  8.85s | valid loss  4.55 | valid ppl    94.20
| end of epoch 116 | time:  8.87s | valid loss  4.51 | valid ppl    91.18
| end of epoch 117 | time:  8.89s | valid loss  4.57 | valid ppl    96.92
| end of epoch 118 | time:  8.90s | valid loss  4.51 | valid ppl    90.94
| end of epoch 119 | time:  8.90s | valid loss  4.54 | valid ppl    93.72
| end of epoch 120 | time:  8.84s | valid loss  4.53 | valid ppl    92.89
| end of epoch 121 | time:  8.85s | valid loss  4.52 | valid ppl    91.96
| end of epoch 122 | time:  8.90s | valid loss  4.56 | valid ppl    95.17
| end of epoch 123 | time:  8.87s | valid loss  4.57 | valid ppl    96.69
| end of epoch 124 | time:  8.87s | valid loss  4.49 | valid ppl    89.49
| end of epoch 125 | time:  8.88s | valid loss  4.54 | valid ppl    93.57
| end of epoch 126 | time:  8.89s | valid loss  4.71 | valid ppl   111.08
| end of epoch 127 | time:  8.87s | valid loss  4.59 | valid ppl    98.96
| end of epoch 128 | time:  8.87s | valid loss  4.55 | valid ppl    94.28
| end of epoch 129 | time:  8.90s | valid loss  4.55 | valid ppl    94.32
| end of epoch 130 | time:  8.90s | valid loss  4.61 | valid ppl   100.05
| end of epoch 131 | time:  8.87s | valid loss  4.54 | valid ppl    93.29
| end of epoch 132 | time:  8.86s | valid loss  4.46 | valid ppl    86.86
| end of epoch 133 | time:  8.90s | valid loss  4.57 | valid ppl    97.01
| end of epoch 134 | time:  8.87s | valid loss  4.54 | valid ppl    94.12
| end of epoch 135 | time:  8.86s | valid loss  4.50 | valid ppl    89.91
| end of epoch 136 | time:  8.91s | valid loss  4.58 | valid ppl    97.51
| end of epoch 137 | time:  8.91s | valid loss  4.54 | valid ppl    93.77
| end of epoch 138 | time:  8.87s | valid loss  4.55 | valid ppl    95.11
| end of epoch 139 | time:  8.89s | valid loss  4.56 | valid ppl    95.74
| end of epoch 140 | time:  8.88s | valid loss  4.50 | valid ppl    89.62
| end of epoch 141 | time:  8.87s | valid loss  4.57 | valid ppl    96.10
| end of epoch 142 | time:  8.86s | valid loss  4.52 | valid ppl    91.56
| end of epoch 143 | time:  8.91s | valid loss  4.61 | valid ppl   100.33
| end of epoch 144 | time:  8.89s | valid loss  4.62 | valid ppl   101.02
| end of epoch 145 | time:  8.87s | valid loss  4.55 | valid ppl    95.05
| end of epoch 146 | time:  8.89s | valid loss  4.53 | valid ppl    92.45
