| end of epoch  85 | time:  9.16s | valid loss  3.85 | valid ppl    46.92
| end of epoch  86 | time:  9.11s | valid loss  3.83 | valid ppl    46.14
| end of epoch  87 | time:  9.12s | valid loss  3.84 | valid ppl    46.74
| end of epoch  88 | time:  9.14s | valid loss  3.83 | valid ppl    45.90
| end of epoch  89 | time:  9.15s | valid loss  3.85 | valid ppl    46.78
| end of epoch  90 | time:  9.16s | valid loss  3.82 | valid ppl    45.72
| end of epoch  91 | time:  9.11s | valid loss  3.85 | valid ppl    46.90
| end of epoch  92 | time:  9.10s | valid loss  3.84 | valid ppl    46.59
| end of epoch  93 | time:  9.10s | valid loss  3.84 | valid ppl    46.67
| end of epoch  94 | time:  9.11s | valid loss  3.86 | valid ppl    47.32
| end of epoch  95 | time:  9.09s | valid loss  3.84 | valid ppl    46.41
| end of epoch  96 | time:  9.09s | valid loss  3.84 | valid ppl    46.52
| end of epoch  97 | time:  9.11s | valid loss  3.84 | valid ppl    46.55
| end of epoch  98 | time:  9.15s | valid loss  3.86 | valid ppl    47.32
| end of epoch  99 | time:  9.13s | valid loss  3.83 | valid ppl    46.29
| end of epoch 100 | time:  9.12s | valid loss  3.83 | valid ppl    46.20
| end of epoch 101 | time:  9.11s | valid loss  3.83 | valid ppl    46.09
| end of epoch 102 | time:  9.10s | valid loss  3.83 | valid ppl    46.26
| end of epoch 103 | time:  9.09s | valid loss  3.86 | valid ppl    47.50
| end of epoch 104 | time:  9.16s | valid loss  3.85 | valid ppl    46.94
| end of epoch 105 | time:  9.13s | valid loss  3.87 | valid ppl    48.18
| end of epoch 106 | time:  9.11s | valid loss  3.86 | valid ppl    47.43
| end of epoch 107 | time:  9.10s | valid loss  3.84 | valid ppl    46.32
| end of epoch 108 | time:  9.13s | valid loss  3.83 | valid ppl    46.02
| end of epoch 109 | time:  9.13s | valid loss  3.82 | valid ppl    45.71
| end of epoch 110 | time:  9.13s | valid loss  3.84 | valid ppl    46.55
| end of epoch 111 | time:  9.13s | valid loss  3.84 | valid ppl    46.38
| end of epoch 112 | time:  9.08s | valid loss  3.84 | valid ppl    46.52
| end of epoch 113 | time:  9.10s | valid loss  3.84 | valid ppl    46.51
| end of epoch 114 | time:  9.08s | valid loss  3.85 | valid ppl    47.00
| end of epoch 115 | time:  9.09s | valid loss  3.84 | valid ppl    46.42
| end of epoch 116 | time:  9.08s | valid loss  3.88 | valid ppl    48.29
| end of epoch 117 | time:  9.11s | valid loss  3.83 | valid ppl    46.27
| end of epoch 118 | time:  9.11s | valid loss  3.85 | valid ppl    47.11
| end of epoch 119 | time:  9.08s | valid loss  3.82 | valid ppl    45.78
| end of epoch 120 | time:  9.09s | valid loss  3.86 | valid ppl    47.34
| end of epoch 121 | time:  9.08s | valid loss  3.84 | valid ppl    46.44
| end of epoch 122 | time:  9.10s | valid loss  3.83 | valid ppl    46.09
| end of epoch 123 | time:  9.09s | valid loss  3.86 | valid ppl    47.69
| end of epoch 124 | time:  9.08s | valid loss  3.82 | valid ppl    45.67
| end of epoch 125 | time:  9.17s | valid loss  3.85 | valid ppl    46.98
| end of epoch 126 | time:  9.14s | valid loss  3.85 | valid ppl    46.87
| end of epoch 127 | time:  9.12s | valid loss  3.86 | valid ppl    47.46
| end of epoch 128 | time:  9.12s | valid loss  3.85 | valid ppl    46.82
| end of epoch 129 | time:  9.14s | valid loss  3.85 | valid ppl    46.89
| end of epoch 130 | time:  9.12s | valid loss  3.84 | valid ppl    46.34
| end of epoch 131 | time:  9.15s | valid loss  3.86 | valid ppl    47.47
| end of epoch 132 | time:  9.12s | valid loss  3.84 | valid ppl    46.71
| end of epoch 133 | time:  9.10s | valid loss  3.84 | valid ppl    46.74
| end of epoch 134 | time:  9.12s | valid loss  3.84 | valid ppl    46.74
| end of epoch 135 | time:  9.11s | valid loss  3.85 | valid ppl    47.01
| end of epoch 136 | time:  9.11s | valid loss  3.82 | valid ppl    45.41
| end of epoch 137 | time:  9.09s | valid loss  3.85 | valid ppl    46.82
| end of epoch 138 | time:  9.08s | valid loss  3.85 | valid ppl    46.81
| end of epoch 139 | time:  9.09s | valid loss  3.85 | valid ppl    46.79
| end of epoch 140 | time:  9.08s | valid loss  3.84 | valid ppl    46.42
| end of epoch 141 | time:  9.15s | valid loss  3.86 | valid ppl    47.24
| end of epoch 142 | time:  9.15s | valid loss  3.84 | valid ppl    46.56
| end of epoch 143 | time:  9.16s | valid loss  3.83 | valid ppl    45.87
| end of epoch 144 | time:  9.10s | valid loss  3.83 | valid ppl    46.21
| end of epoch 145 | time:  9.10s | valid loss  3.84 | valid ppl    46.64
| end of epoch 146 | time:  9.11s | valid loss  3.83 | valid ppl    46.10
| end of epoch 147 | time:  9.08s | valid loss  3.85 | valid ppl    47.08
| end of epoch 148 | time:  9.09s | valid loss  3.87 | valid ppl    47.77
| end of epoch 149 | time:  9.09s | valid loss  3.86 | valid ppl    47.28
| end of epoch 150 | time:  9.09s | valid loss  3.83 | valid ppl    45.84
| end of epoch 151 | time:  9.08s | valid loss  3.84 | valid ppl    46.48
| end of epoch 152 | time:  9.08s | valid loss  3.85 | valid ppl    46.90
| end of epoch 153 | time:  9.15s | valid loss  3.84 | valid ppl    46.55
| end of epoch 154 | time:  9.14s | valid loss  3.86 | valid ppl    47.66
| end of epoch 155 | time:  9.13s | valid loss  3.83 | valid ppl    46.28
| end of epoch 156 | time:  9.12s | valid loss  3.84 | valid ppl    46.46
| end of epoch 157 | time:  9.12s | valid loss  3.84 | valid ppl    46.52
| end of epoch 158 | time:  9.09s | valid loss  3.84 | valid ppl    46.35
| end of epoch 159 | time:  9.10s | valid loss  3.84 | valid ppl    46.48
| end of epoch 160 | time:  9.12s | valid loss  3.84 | valid ppl    46.40
| end of epoch 161 | time:  9.15s | valid loss  3.85 | valid ppl    46.79
| end of epoch 162 | time:  9.16s | valid loss  3.86 | valid ppl    47.59
| end of epoch 163 | time:  9.10s | valid loss  3.84 | valid ppl    46.69
| end of epoch 164 | time:  9.11s | valid loss  3.83 | valid ppl    46.22
| end of epoch 165 | time:  9.08s | valid loss  3.85 | valid ppl    46.80
| end of epoch 166 | time:  9.08s | valid loss  3.83 | valid ppl    46.22
| end of epoch 167 | time:  9.10s | valid loss  3.85 | valid ppl    46.81
| end of epoch 168 | time:  9.11s | valid loss  3.85 | valid ppl    46.83
| end of epoch 169 | time:  9.16s | valid loss  3.85 | valid ppl    47.02
| end of epoch 170 | time:  9.12s | valid loss  3.84 | valid ppl    46.34
| end of epoch 171 | time:  9.11s | valid loss  3.84 | valid ppl    46.62
| end of epoch 172 | time:  9.08s | valid loss  3.83 | valid ppl    46.07
| end of epoch 173 | time:  9.08s | valid loss  3.84 | valid ppl    46.61
| end of epoch 174 | time:  9.12s | valid loss  3.84 | valid ppl    46.55
| end of epoch 175 | time:  9.15s | valid loss  3.84 | valid ppl    46.51
| end of epoch 176 | time:  9.11s | valid loss  3.84 | valid ppl    46.51
| end of epoch 177 | time:  9.09s | valid loss  3.83 | valid ppl    46.05
| end of epoch 178 | time:  9.10s | valid loss  3.83 | valid ppl    45.93
| end of epoch 179 | time:  9.09s | valid loss  3.86 | valid ppl    47.52
| end of epoch 180 | time:  9.08s | valid loss  3.83 | valid ppl    46.24
| end of epoch 181 | time:  9.10s | valid loss  3.84 | valid ppl    46.55
| end of epoch 182 | time:  9.12s | valid loss  3.87 | valid ppl    47.83
| end of epoch 183 | time:  9.15s | valid loss  3.86 | valid ppl    47.49
| end of epoch 184 | time:  9.13s | valid loss  3.84 | valid ppl    46.74
| end of epoch 185 | time:  9.11s | valid loss  3.84 | valid ppl    46.69
| end of epoch 186 | time:  9.09s | valid loss  3.85 | valid ppl    46.85
| end of epoch 187 | time:  9.09s | valid loss  3.84 | valid ppl    46.68
| end of epoch 188 | time:  9.14s | valid loss  3.84 | valid ppl    46.48
| end of epoch 189 | time:  9.10s | valid loss  3.86 | valid ppl    47.58
| end of epoch 190 | time:  9.10s | valid loss  3.83 | valid ppl    46.26
| end of epoch 191 | time:  9.09s | valid loss  3.84 | valid ppl    46.60
| end of epoch 192 | time:  9.11s | valid loss  3.84 | valid ppl    46.56
| end of epoch 193 | time:  9.10s | valid loss  3.86 | valid ppl    47.28
| end of epoch 194 | time:  9.16s | valid loss  3.84 | valid ppl    46.72
| end of epoch 195 | time:  9.16s | valid loss  3.84 | valid ppl    46.66
| end of epoch 196 | time:  9.12s | valid loss  3.85 | valid ppl    46.98
| end of epoch 197 | time:  9.10s | valid loss  3.84 | valid ppl    46.30
| end of epoch 198 | time:  9.10s | valid loss  3.84 | valid ppl    46.74
| end of epoch 199 | time:  9.11s | valid loss  3.84 | valid ppl    46.54
| end of epoch 200 | time:  9.10s | valid loss  3.86 | valid ppl    47.54
| end of epoch 201 | time:  9.14s | valid loss  3.84 | valid ppl    46.43
| end of epoch 202 | time:  9.14s | valid loss  3.83 | valid ppl    46.06
| end of epoch 203 | time:  9.09s | valid loss  3.85 | valid ppl    46.85
| end of epoch 204 | time:  9.10s | valid loss  3.84 | valid ppl    46.50
| end of epoch 205 | time:  9.09s | valid loss  3.82 | valid ppl    45.83
| end of epoch 206 | time:  9.11s | valid loss  3.84 | valid ppl    46.72
| end of epoch 207 | time:  9.14s | valid loss  3.83 | valid ppl    45.99
| end of epoch 208 | time:  9.13s | valid loss  3.84 | valid ppl    46.59
| end of epoch 209 | time:  9.15s | valid loss  3.87 | valid ppl    47.88
| end of epoch 210 | time:  9.10s | valid loss  3.83 | valid ppl    45.97
| end of epoch 211 | time:  9.11s | valid loss  3.85 | valid ppl    47.05
| end of epoch 212 | time:  9.10s | valid loss  3.86 | valid ppl    47.34
| end of epoch 213 | time:  9.11s | valid loss  3.86 | valid ppl    47.41
| end of epoch 214 | time:  9.10s | valid loss  3.83 | valid ppl    46.22
| end of epoch 215 | time:  9.08s | valid loss  3.85 | valid ppl    47.06
| end of epoch 216 | time:  9.09s | valid loss  3.84 | valid ppl    46.75
| end of epoch 217 | time:  9.09s | valid loss  3.85 | valid ppl    46.88
| end of epoch 218 | time:  9.11s | valid loss  3.84 | valid ppl    46.34
| end of epoch 219 | time:  9.11s | valid loss  3.84 | valid ppl    46.71
| end of epoch 220 | time:  9.13s | valid loss  3.84 | valid ppl    46.37
| end of epoch 221 | time:  9.13s | valid loss  3.86 | valid ppl    47.33
| end of epoch 222 | time:  9.09s | valid loss  3.83 | valid ppl    46.07
| end of epoch 223 | time:  9.10s | valid loss  3.85 | valid ppl    46.79
| end of epoch 224 | time:  9.08s | valid loss  3.85 | valid ppl    47.04
| end of epoch 225 | time:  9.09s | valid loss  3.85 | valid ppl    46.79
| end of epoch 226 | time:  9.10s | valid loss  3.85 | valid ppl    47.00
| end of epoch 227 | time:  9.11s | valid loss  3.81 | valid ppl    45.29
| end of epoch 228 | time:  9.08s | valid loss  3.81 | valid ppl    45.36
| end of epoch 229 | time:  9.08s | valid loss  3.82 | valid ppl    45.51
| end of epoch 230 | time:  9.09s | valid loss  3.85 | valid ppl    47.17
| end of epoch 231 | time:  9.08s | valid loss  3.83 | valid ppl    46.03
| end of epoch 232 | time:  9.09s | valid loss  3.82 | valid ppl    45.78
| end of epoch 233 | time:  9.08s | valid loss  3.83 | valid ppl    45.86
| end of epoch 234 | time:  9.16s | valid loss  3.85 | valid ppl    46.93
| end of epoch 235 | time:  9.11s | valid loss  3.84 | valid ppl    46.76
| end of epoch 236 | time:  9.10s | valid loss  3.85 | valid ppl    47.01
| end of epoch 237 | time:  9.11s | valid loss  3.83 | valid ppl    46.12
| end of epoch 238 | time:  9.09s | valid loss  3.86 | valid ppl    47.49
| end of epoch 239 | time:  9.10s | valid loss  3.85 | valid ppl    47.00
| end of epoch 240 | time:  9.10s | valid loss  3.84 | valid ppl    46.43
| end of epoch 241 | time:  9.12s | valid loss  3.85 | valid ppl    46.92
| end of epoch 242 | time:  9.15s | valid loss  3.84 | valid ppl    46.59
| end of epoch 243 | time:  9.11s | valid loss  3.82 | valid ppl    45.54
| end of epoch 244 | time:  9.14s | valid loss  3.84 | valid ppl    46.62
| end of epoch 245 | time:  9.12s | valid loss  3.84 | valid ppl    46.49
| end of epoch 246 | time:  9.17s | valid loss  3.82 | valid ppl    45.80
| end of epoch 247 | time:  9.13s | valid loss  3.86 | valid ppl    47.35
| end of epoch 248 | time:  9.10s | valid loss  3.83 | valid ppl    46.13
| end of epoch 249 | time:  9.08s | valid loss  3.85 | valid ppl    46.96
| end of epoch 250 | time:  9.08s | valid loss  3.85 | valid ppl    47.03
| end of epoch 251 | time:  9.10s | valid loss  3.84 | valid ppl    46.59
| end of epoch 252 | time:  9.08s | valid loss  3.84 | valid ppl    46.38
| end of epoch 253 | time:  9.09s | valid loss  3.86 | valid ppl    47.34
| end of epoch 254 | time:  9.08s | valid loss  3.84 | valid ppl    46.41
| end of epoch 255 | time:  9.10s | valid loss  3.84 | valid ppl    46.32
| end of epoch 256 | time:  9.08s | valid loss  3.85 | valid ppl    47.15
| end of epoch 257 | time:  9.08s | valid loss  3.83 | valid ppl    45.97
| end of epoch 258 | time:  9.11s | valid loss  3.87 | valid ppl    47.82
| end of epoch 259 | time:  9.15s | valid loss  3.83 | valid ppl    46.03
| end of epoch 260 | time:  9.15s | valid loss  3.84 | valid ppl    46.33
| end of epoch 261 | time:  9.11s | valid loss  3.85 | valid ppl    47.00
| end of epoch 262 | time:  9.13s | valid loss  3.83 | valid ppl    46.23
| end of epoch 263 | time:  9.11s | valid loss  3.85 | valid ppl    47.06
| end of epoch 264 | time:  9.12s | valid loss  3.85 | valid ppl    46.83
| end of epoch 265 | time:  9.13s | valid loss  3.84 | valid ppl    46.52
| end of epoch 266 | time:  9.13s | valid loss  3.86 | valid ppl    47.30
| end of epoch 267 | time:  9.15s | valid loss  3.84 | valid ppl    46.41
| end of epoch 268 | time:  9.14s | valid loss  3.83 | valid ppl    46.19
| end of epoch 269 | time:  9.12s | valid loss  3.85 | valid ppl    46.83
| end of epoch 270 | time:  9.10s | valid loss  3.85 | valid ppl    47.13
| end of epoch 271 | time:  9.10s | valid loss  3.83 | valid ppl    46.22
| end of epoch 272 | time:  9.15s | valid loss  3.84 | valid ppl    46.55
| end of epoch 273 | time:  9.15s | valid loss  3.84 | valid ppl    46.55
| end of epoch 274 | time:  9.10s | valid loss  3.85 | valid ppl    46.89
| end of epoch 275 | time:  9.10s | valid loss  3.84 | valid ppl    46.74
| end of epoch 276 | time:  9.11s | valid loss  3.83 | valid ppl    45.95
| end of epoch 277 | time:  9.08s | valid loss  3.83 | valid ppl    46.01
| end of epoch 278 | time:  9.14s | valid loss  3.84 | valid ppl    46.72
| end of epoch 279 | time:  9.13s | valid loss  3.83 | valid ppl    45.90
| end of epoch 280 | time:  9.12s | valid loss  3.85 | valid ppl    47.10
| end of epoch 281 | time:  9.10s | valid loss  3.83 | valid ppl    46.25
| end of epoch 282 | time:  9.09s | valid loss  3.84 | valid ppl    46.57
| end of epoch 283 | time:  9.11s | valid loss  3.87 | valid ppl    48.10
| end of epoch 284 | time:  9.09s | valid loss  3.83 | valid ppl    46.12
| end of epoch 285 | time:  9.14s | valid loss  3.83 | valid ppl    46.12
| end of epoch 286 | time:  9.11s | valid loss  3.86 | valid ppl    47.27
| end of epoch 287 | time:  9.08s | valid loss  3.84 | valid ppl    46.51
| end of epoch 288 | time:  9.09s | valid loss  3.84 | valid ppl    46.39
| end of epoch 289 | time:  9.08s | valid loss  3.85 | valid ppl    47.10
| end of epoch 290 | time:  9.10s | valid loss  3.82 | valid ppl    45.79
| end of epoch 291 | time:  9.14s | valid loss  3.84 | valid ppl    46.65
| end of epoch 292 | time:  9.14s | valid loss  3.86 | valid ppl    47.64
| end of epoch 293 | time:  9.13s | valid loss  3.85 | valid ppl    46.83
| end of epoch 294 | time:  9.11s | valid loss  3.84 | valid ppl    46.46
| end of epoch 295 | time:  9.12s | valid loss  3.83 | valid ppl    45.93
| end of epoch 296 | time:  9.10s | valid loss  3.84 | valid ppl    46.30
| end of epoch 297 | time:  9.13s | valid loss  3.83 | valid ppl    45.86
| end of epoch 298 | time:  9.12s | valid loss  3.87 | valid ppl    47.77
| end of epoch 299 | time:  9.10s | valid loss  3.86 | valid ppl    47.35
| end of epoch 300 | time:  9.12s | valid loss  3.85 | valid ppl    46.95
| end of epoch 301 | time:  9.10s | valid loss  3.81 | valid ppl    45.21
| end of epoch 302 | time:  9.11s | valid loss  3.84 | valid ppl    46.74
| end of epoch 303 | time:  9.09s | valid loss  3.82 | valid ppl    45.81
| end of epoch 304 | time:  9.12s | valid loss  3.85 | valid ppl    47.01
| end of epoch 305 | time:  9.12s | valid loss  3.83 | valid ppl    45.84
| end of epoch 306 | time:  9.10s | valid loss  3.84 | valid ppl    46.43
| end of epoch 307 | time:  9.13s | valid loss  3.83 | valid ppl    45.93
| end of epoch 308 | time:  9.10s | valid loss  3.85 | valid ppl    46.84
| end of epoch 309 | time:  9.12s | valid loss  3.85 | valid ppl    47.15
| end of epoch 310 | time:  9.12s | valid loss  3.84 | valid ppl    46.50
| end of epoch 311 | time:  9.14s | valid loss  3.84 | valid ppl    46.43
| end of epoch 312 | time:  9.12s | valid loss  3.86 | valid ppl    47.65
| end of epoch 313 | time:  9.10s | valid loss  3.85 | valid ppl    47.05
| end of epoch 314 | time:  9.12s | valid loss  3.83 | valid ppl    46.23
| end of epoch 315 | time:  9.13s | valid loss  3.84 | valid ppl    46.40
| end of epoch 316 | time:  9.14s | valid loss  3.85 | valid ppl    46.96
| end of epoch 317 | time:  9.13s | valid loss  3.85 | valid ppl    47.20
| end of epoch 318 | time:  9.12s | valid loss  3.83 | valid ppl    46.08
| end of epoch 319 | time:  9.09s | valid loss  3.83 | valid ppl    46.19
| end of epoch 320 | time:  9.10s | valid loss  3.85 | valid ppl    46.92
| end of epoch 321 | time:  9.11s | valid loss  3.84 | valid ppl    46.47
| end of epoch 322 | time:  9.09s | valid loss  3.85 | valid ppl    46.95
| end of epoch 323 | time:  9.10s | valid loss  3.84 | valid ppl    46.30
| end of epoch 324 | time:  9.09s | valid loss  3.85 | valid ppl    47.03
| end of epoch 325 | time:  9.10s | valid loss  3.83 | valid ppl    46.19
| end of epoch 326 | time:  9.09s | valid loss  3.85 | valid ppl    47.11
| end of epoch 327 | time:  9.08s | valid loss  3.84 | valid ppl    46.44
| end of epoch 328 | time:  9.10s | valid loss  3.83 | valid ppl    46.18
| end of epoch 329 | time:  9.12s | valid loss  3.84 | valid ppl    46.70
| end of epoch 330 | time:  9.14s | valid loss  3.82 | valid ppl    45.77
| end of epoch 331 | time:  9.11s | valid loss  3.83 | valid ppl    45.86
| end of epoch 332 | time:  9.11s | valid loss  3.85 | valid ppl    47.20
| end of epoch 333 | time:  9.09s | valid loss  3.84 | valid ppl    46.71
| end of epoch 334 | time:  9.09s | valid loss  3.85 | valid ppl    47.03
| end of epoch 335 | time:  9.11s | valid loss  3.84 | valid ppl    46.37
| end of epoch 336 | time:  9.09s | valid loss  3.84 | valid ppl    46.61
| end of epoch 337 | time:  9.09s | valid loss  3.85 | valid ppl    46.94
| end of epoch 338 | time:  9.08s | valid loss  3.86 | valid ppl    47.43
| end of epoch 339 | time:  9.09s | valid loss  3.85 | valid ppl    46.77
| end of epoch 340 | time:  9.08s | valid loss  3.84 | valid ppl    46.33
| end of epoch 341 | time:  9.08s | valid loss  3.85 | valid ppl    47.09
| end of epoch 342 | time:  9.10s | valid loss  3.85 | valid ppl    46.84
| end of epoch 343 | time:  9.14s | valid loss  3.86 | valid ppl    47.25
| end of epoch 344 | time:  9.15s | valid loss  3.84 | valid ppl    46.58
| end of epoch 345 | time:  9.10s | valid loss  3.82 | valid ppl    45.77
| end of epoch 346 | time:  9.11s | valid loss  3.86 | valid ppl    47.48
| end of epoch 347 | time:  9.09s | valid loss  3.83 | valid ppl    46.27
| end of epoch 348 | time:  9.10s | valid loss  3.84 | valid ppl    46.54
| end of epoch 349 | time:  9.12s | valid loss  3.84 | valid ppl    46.50
| end of epoch 350 | time:  9.11s | valid loss  3.83 | valid ppl    46.09
| end of epoch 351 | time:  9.14s | valid loss  3.84 | valid ppl    46.75
| end of epoch 352 | time:  9.12s | valid loss  3.85 | valid ppl    46.87
| end of epoch 353 | time:  9.11s | valid loss  3.84 | valid ppl    46.63
| end of epoch 354 | time:  9.08s | valid loss  3.84 | valid ppl    46.50
