| end of epoch  81 | time:  7.94s | valid loss 15.10 | valid ppl 3620752.59
| end of epoch  82 | time:  7.93s | valid loss 20.04 | valid ppl 502816227.46
| end of epoch  83 | time:  7.94s | valid loss 14.84 | valid ppl 2771977.95
| end of epoch  84 | time:  7.94s | valid loss 13.68 | valid ppl 870496.41
| end of epoch  85 | time:  7.99s | valid loss 14.78 | valid ppl 2627849.41
| end of epoch  86 | time:  7.97s | valid loss 14.20 | valid ppl 1466607.25
| end of epoch  87 | time:  7.99s | valid loss 14.70 | valid ppl 2429045.86
| end of epoch  88 | time:  7.95s | valid loss 13.73 | valid ppl 921137.92
| end of epoch  89 | time:  7.93s | valid loss 13.21 | valid ppl 545250.31
| end of epoch  90 | time:  7.94s | valid loss 13.32 | valid ppl 610959.51
| end of epoch  91 | time:  7.97s | valid loss 12.56 | valid ppl 284022.63
| end of epoch  92 | time:  8.00s | valid loss 14.01 | valid ppl 1212378.54
| end of epoch  93 | time:  7.94s | valid loss 13.71 | valid ppl 897651.99
| end of epoch  94 | time:  7.95s | valid loss 13.64 | valid ppl 839571.71
| end of epoch  95 | time:  7.94s | valid loss 14.50 | valid ppl 1983380.89
| end of epoch  96 | time:  7.93s | valid loss 14.65 | valid ppl 2312465.69
| end of epoch  97 | time:  7.92s | valid loss 15.99 | valid ppl 8832141.28
| end of epoch  98 | time:  7.97s | valid loss 14.04 | valid ppl 1254480.94
| end of epoch  99 | time:  7.95s | valid loss 28.02 | valid ppl 1468896082075.67
| end of epoch 100 | time:  7.93s | valid loss 19.31 | valid ppl 243305145.86
| end of epoch 101 | time:  7.95s | valid loss 12.47 | valid ppl 260464.95
| end of epoch 102 | time:  7.96s | valid loss 15.01 | valid ppl 3314755.35
| end of epoch 103 | time:  7.95s | valid loss 12.83 | valid ppl 371765.82
| end of epoch 104 | time:  7.96s | valid loss 14.14 | valid ppl 1389174.58
| end of epoch 105 | time:  7.97s | valid loss 15.35 | valid ppl 4641061.98
| end of epoch 106 | time:  7.97s | valid loss 15.57 | valid ppl 5763682.26
| end of epoch 107 | time:  7.94s | valid loss 12.67 | valid ppl 318829.33
| end of epoch 108 | time:  7.95s | valid loss 11.98 | valid ppl 158950.13
| end of epoch 109 | time:  7.94s | valid loss 12.15 | valid ppl 188704.12
| end of epoch 110 | time:  7.99s | valid loss 11.28 | valid ppl 78910.39
| end of epoch 111 | time:  7.96s | valid loss 12.44 | valid ppl 252173.07
| end of epoch 112 | time:  7.94s | valid loss 28.85 | valid ppl 3400577189198.09
| end of epoch 113 | time:  7.96s | valid loss 19.21 | valid ppl 219318133.67
| end of epoch 114 | time:  7.95s | valid loss 12.52 | valid ppl 273141.90
| end of epoch 115 | time:  7.96s | valid loss 13.12 | valid ppl 496736.36
| end of epoch 116 | time:  7.97s | valid loss 15.63 | valid ppl 6109895.99
| end of epoch 117 | time:  7.94s | valid loss 11.42 | valid ppl 91414.75
| end of epoch 118 | time:  7.96s | valid loss 13.22 | valid ppl 549103.75
| end of epoch 119 | time:  7.95s | valid loss 20.89 | valid ppl 1182986936.94
| end of epoch 120 | time:  7.95s | valid loss 11.24 | valid ppl 76416.46
| end of epoch 121 | time:  7.94s | valid loss 15.49 | valid ppl 5351136.23
| end of epoch 122 | time:  7.96s | valid loss 11.78 | valid ppl 130285.48
| end of epoch 123 | time:  7.96s | valid loss 12.64 | valid ppl 309862.73
| end of epoch 124 | time:  7.95s | valid loss 12.71 | valid ppl 330019.42
| end of epoch 125 | time:  7.95s | valid loss 13.57 | valid ppl 781318.46
| end of epoch 126 | time:  7.99s | valid loss 11.60 | valid ppl 108848.16
| end of epoch 127 | time:  7.96s | valid loss 13.66 | valid ppl 858662.45
| end of epoch 128 | time:  7.95s | valid loss 11.97 | valid ppl 157842.46
| end of epoch 129 | time:  7.93s | valid loss 13.62 | valid ppl 822922.66
| end of epoch 130 | time:  7.95s | valid loss 11.92 | valid ppl 149954.20
| end of epoch 131 | time:  7.95s | valid loss 17.05 | valid ppl 25346955.64
| end of epoch 132 | time:  7.96s | valid loss 13.71 | valid ppl 903837.43
| end of epoch 133 | time:  7.97s | valid loss 15.28 | valid ppl 4327969.07
| end of epoch 134 | time:  7.96s | valid loss 13.36 | valid ppl 633346.70
| end of epoch 135 | time:  7.98s | valid loss 11.80 | valid ppl 132735.81
| end of epoch 136 | time:  7.95s | valid loss 12.72 | valid ppl 332783.84
| end of epoch 137 | time:  7.92s | valid loss 18.58 | valid ppl 117556175.22
| end of epoch 138 | time:  7.93s | valid loss 13.82 | valid ppl 1007588.30
| end of epoch 139 | time:  7.96s | valid loss 14.18 | valid ppl 1444619.30
| end of epoch 140 | time:  7.96s | valid loss 11.40 | valid ppl 89210.41
| end of epoch 141 | time:  7.97s | valid loss 12.17 | valid ppl 192693.72
| end of epoch 142 | time:  7.94s | valid loss 13.43 | valid ppl 682994.68
| end of epoch 143 | time:  7.96s | valid loss 13.85 | valid ppl 1036787.02
| end of epoch 144 | time:  7.96s | valid loss 12.41 | valid ppl 245601.12
| end of epoch 145 | time:  7.95s | valid loss 11.12 | valid ppl 67246.63
| end of epoch 146 | time:  7.95s | valid loss 12.26 | valid ppl 210444.01
| end of epoch 147 | time:  7.99s | valid loss 19.73 | valid ppl 371661505.03
| end of epoch 148 | time:  7.99s | valid loss 12.01 | valid ppl 164427.91
| end of epoch 149 | time:  7.99s | valid loss 13.41 | valid ppl 663352.40
| end of epoch 150 | time:  7.96s | valid loss 15.96 | valid ppl 8544724.32
| end of epoch 151 | time:  7.97s | valid loss 15.72 | valid ppl 6707953.22
| end of epoch 152 | time:  7.95s | valid loss 19.37 | valid ppl 259512286.06
| end of epoch 153 | time:  7.94s | valid loss 11.27 | valid ppl 78698.32
| end of epoch 154 | time:  7.93s | valid loss 13.21 | valid ppl 543686.81
