| end of epoch  85 | time:  8.89s | valid loss  4.10 | valid ppl    60.24
| end of epoch  86 | time:  8.88s | valid loss  4.09 | valid ppl    59.85
| end of epoch  87 | time:  8.88s | valid loss  4.10 | valid ppl    60.10
| end of epoch  88 | time:  8.88s | valid loss  4.08 | valid ppl    59.29
| end of epoch  89 | time:  8.86s | valid loss  4.10 | valid ppl    60.58
| end of epoch  90 | time:  8.88s | valid loss  4.09 | valid ppl    59.48
| end of epoch  91 | time:  8.88s | valid loss  4.11 | valid ppl    60.78
| end of epoch  92 | time:  8.91s | valid loss  4.11 | valid ppl    60.90
| end of epoch  93 | time:  8.93s | valid loss  4.11 | valid ppl    60.83
| end of epoch  94 | time:  8.87s | valid loss  4.13 | valid ppl    62.21
| end of epoch  95 | time:  8.86s | valid loss  4.09 | valid ppl    59.97
| end of epoch  96 | time:  8.88s | valid loss  4.12 | valid ppl    61.44
| end of epoch  97 | time:  8.87s | valid loss  4.11 | valid ppl    61.09
| end of epoch  98 | time:  8.87s | valid loss  4.13 | valid ppl    62.17
| end of epoch  99 | time:  8.88s | valid loss  4.10 | valid ppl    60.56
| end of epoch 100 | time:  8.88s | valid loss  4.11 | valid ppl    60.93
| end of epoch 101 | time:  8.89s | valid loss  4.11 | valid ppl    61.09
| end of epoch 102 | time:  8.86s | valid loss  4.10 | valid ppl    60.46
| end of epoch 103 | time:  8.85s | valid loss  4.14 | valid ppl    62.55
| end of epoch 104 | time:  8.87s | valid loss  4.12 | valid ppl    61.53
| end of epoch 105 | time:  8.89s | valid loss  4.16 | valid ppl    64.19
| end of epoch 106 | time:  8.88s | valid loss  4.13 | valid ppl    62.25
| end of epoch 107 | time:  8.87s | valid loss  4.11 | valid ppl    61.14
| end of epoch 108 | time:  8.88s | valid loss  4.11 | valid ppl    61.16
| end of epoch 109 | time:  8.86s | valid loss  4.11 | valid ppl    61.07
| end of epoch 110 | time:  8.89s | valid loss  4.13 | valid ppl    62.32
| end of epoch 111 | time:  8.88s | valid loss  4.12 | valid ppl    61.72
| end of epoch 112 | time:  8.88s | valid loss  4.13 | valid ppl    61.89
| end of epoch 113 | time:  8.87s | valid loss  4.13 | valid ppl    62.12
| end of epoch 114 | time:  8.84s | valid loss  4.14 | valid ppl    62.99
| end of epoch 115 | time:  8.89s | valid loss  4.13 | valid ppl    61.99
| end of epoch 116 | time:  8.88s | valid loss  4.17 | valid ppl    64.53
| end of epoch 117 | time:  8.87s | valid loss  4.12 | valid ppl    61.72
| end of epoch 118 | time:  8.90s | valid loss  4.15 | valid ppl    63.40
| end of epoch 119 | time:  8.88s | valid loss  4.11 | valid ppl    61.06
| end of epoch 120 | time:  8.86s | valid loss  4.14 | valid ppl    62.92
| end of epoch 121 | time:  8.88s | valid loss  4.13 | valid ppl    62.11
| end of epoch 122 | time:  8.87s | valid loss  4.11 | valid ppl    61.16
| end of epoch 123 | time:  8.88s | valid loss  4.16 | valid ppl    64.19
| end of epoch 124 | time:  8.90s | valid loss  4.12 | valid ppl    61.80
| end of epoch 125 | time:  8.92s | valid loss  4.15 | valid ppl    63.26
| end of epoch 126 | time:  8.90s | valid loss  4.15 | valid ppl    63.51
| end of epoch 127 | time:  8.88s | valid loss  4.16 | valid ppl    64.26
| end of epoch 128 | time:  8.86s | valid loss  4.15 | valid ppl    63.58
| end of epoch 129 | time:  8.89s | valid loss  4.15 | valid ppl    63.34
| end of epoch 130 | time:  8.85s | valid loss  4.14 | valid ppl    62.58
| end of epoch 131 | time:  8.87s | valid loss  4.16 | valid ppl    64.09
| end of epoch 132 | time:  8.91s | valid loss  4.15 | valid ppl    63.56
| end of epoch 133 | time:  8.90s | valid loss  4.14 | valid ppl    63.10
| end of epoch 134 | time:  8.87s | valid loss  4.14 | valid ppl    62.66
| end of epoch 135 | time:  8.87s | valid loss  4.15 | valid ppl    63.51
| end of epoch 136 | time:  8.87s | valid loss  4.13 | valid ppl    62.33
| end of epoch 137 | time:  8.89s | valid loss  4.16 | valid ppl    63.94
| end of epoch 138 | time:  8.90s | valid loss  4.15 | valid ppl    63.68
| end of epoch 139 | time:  8.86s | valid loss  4.16 | valid ppl    64.05
| end of epoch 140 | time:  8.88s | valid loss  4.14 | valid ppl    62.81
| end of epoch 141 | time:  8.85s | valid loss  4.17 | valid ppl    64.59
| end of epoch 142 | time:  8.87s | valid loss  4.15 | valid ppl    63.54
| end of epoch 143 | time:  8.87s | valid loss  4.14 | valid ppl    62.64
