| end of epoch  85 | time:  7.94s | valid loss  4.36 | valid ppl    78.43
| end of epoch  86 | time:  7.94s | valid loss  4.39 | valid ppl    80.28
| end of epoch  87 | time:  7.97s | valid loss  4.37 | valid ppl    78.83
| end of epoch  88 | time:  7.93s | valid loss  4.39 | valid ppl    80.44
| end of epoch  89 | time:  7.93s | valid loss  4.41 | valid ppl    82.59
| end of epoch  90 | time:  7.94s | valid loss  4.35 | valid ppl    77.47
| end of epoch  91 | time:  7.92s | valid loss  4.37 | valid ppl    78.99
| end of epoch  92 | time:  7.93s | valid loss  4.41 | valid ppl    82.21
| end of epoch  93 | time:  7.94s | valid loss  4.41 | valid ppl    82.04
| end of epoch  94 | time:  7.95s | valid loss  4.44 | valid ppl    84.43
| end of epoch  95 | time:  7.92s | valid loss  4.41 | valid ppl    82.02
| end of epoch  96 | time:  7.93s | valid loss  4.39 | valid ppl    80.71
| end of epoch  97 | time:  7.94s | valid loss  4.37 | valid ppl    79.28
| end of epoch  98 | time:  7.92s | valid loss  4.40 | valid ppl    81.31
| end of epoch  99 | time:  7.94s | valid loss  4.40 | valid ppl    81.11
| end of epoch 100 | time:  7.94s | valid loss  4.40 | valid ppl    81.41
| end of epoch 101 | time:  7.96s | valid loss  4.39 | valid ppl    80.37
| end of epoch 102 | time:  7.96s | valid loss  4.38 | valid ppl    79.52
| end of epoch 103 | time:  7.97s | valid loss  4.41 | valid ppl    82.35
| end of epoch 104 | time:  7.92s | valid loss  4.41 | valid ppl    82.64
| end of epoch 105 | time:  7.93s | valid loss  4.41 | valid ppl    82.41
| end of epoch 106 | time:  7.95s | valid loss  4.43 | valid ppl    83.83
| end of epoch 107 | time:  7.95s | valid loss  4.38 | valid ppl    79.83
| end of epoch 108 | time:  7.97s | valid loss  4.39 | valid ppl    80.50
| end of epoch 109 | time:  7.95s | valid loss  4.39 | valid ppl    80.42
| end of epoch 110 | time:  7.96s | valid loss  4.39 | valid ppl    80.51
| end of epoch 111 | time:  7.97s | valid loss  4.39 | valid ppl    80.61
| end of epoch 112 | time:  7.97s | valid loss  4.40 | valid ppl    81.34
| end of epoch 113 | time:  7.95s | valid loss  4.40 | valid ppl    81.40
| end of epoch 114 | time:  7.94s | valid loss  4.45 | valid ppl    85.48
| end of epoch 115 | time:  7.93s | valid loss  4.40 | valid ppl    81.85
| end of epoch 116 | time:  7.93s | valid loss  4.42 | valid ppl    83.12
| end of epoch 117 | time:  7.94s | valid loss  4.41 | valid ppl    82.29
| end of epoch 118 | time:  7.97s | valid loss  4.41 | valid ppl    82.18
| end of epoch 119 | time:  7.95s | valid loss  4.39 | valid ppl    80.56
| end of epoch 120 | time:  7.94s | valid loss  4.40 | valid ppl    81.73
| end of epoch 121 | time:  7.95s | valid loss  4.41 | valid ppl    81.90
| end of epoch 122 | time:  7.98s | valid loss  4.38 | valid ppl    80.15
| end of epoch 123 | time:  7.97s | valid loss  4.46 | valid ppl    86.70
| end of epoch 124 | time:  7.96s | valid loss  4.42 | valid ppl    83.50
| end of epoch 125 | time:  7.95s | valid loss  4.44 | valid ppl    85.13
| end of epoch 126 | time:  7.93s | valid loss  4.44 | valid ppl    84.66
| end of epoch 127 | time:  7.97s | valid loss  4.45 | valid ppl    85.31
| end of epoch 128 | time:  7.95s | valid loss  4.43 | valid ppl    83.71
| end of epoch 129 | time:  7.95s | valid loss  4.42 | valid ppl    82.82
| end of epoch 130 | time:  7.93s | valid loss  4.40 | valid ppl    81.83
| end of epoch 131 | time:  7.94s | valid loss  4.43 | valid ppl    83.70
| end of epoch 132 | time:  7.96s | valid loss  4.41 | valid ppl    81.93
| end of epoch 133 | time:  7.97s | valid loss  4.44 | valid ppl    84.99
| end of epoch 134 | time:  7.93s | valid loss  4.42 | valid ppl    83.50
| end of epoch 135 | time:  7.92s | valid loss  4.42 | valid ppl    82.97
| end of epoch 136 | time:  7.93s | valid loss  4.39 | valid ppl    80.42
| end of epoch 137 | time:  7.95s | valid loss  4.42 | valid ppl    83.18
| end of epoch 138 | time:  7.92s | valid loss  4.43 | valid ppl    83.80
| end of epoch 139 | time:  7.91s | valid loss  4.42 | valid ppl    83.40
| end of epoch 140 | time:  7.92s | valid loss  4.42 | valid ppl    82.98
| end of epoch 141 | time:  7.93s | valid loss  4.45 | valid ppl    85.67
| end of epoch 142 | time:  7.96s | valid loss  4.44 | valid ppl    84.79
| end of epoch 143 | time:  7.96s | valid loss  4.44 | valid ppl    84.47
| end of epoch 144 | time:  7.92s | valid loss  4.41 | valid ppl    82.11
| end of epoch 145 | time:  7.98s | valid loss  4.44 | valid ppl    84.65
| end of epoch 146 | time:  7.96s | valid loss  4.41 | valid ppl    82.67
| end of epoch 147 | time:  7.96s | valid loss  4.44 | valid ppl    85.02
| end of epoch 148 | time:  7.98s | valid loss  4.47 | valid ppl    87.01
| end of epoch 149 | time:  7.93s | valid loss  4.45 | valid ppl    85.70
| end of epoch 150 | time:  7.93s | valid loss  4.39 | valid ppl    80.96
| end of epoch 151 | time:  7.92s | valid loss  4.44 | valid ppl    84.61
| end of epoch 152 | time:  7.93s | valid loss  4.43 | valid ppl    84.35
| end of epoch 153 | time:  7.92s | valid loss  4.44 | valid ppl    84.68
| end of epoch 154 | time:  7.95s | valid loss  4.44 | valid ppl    85.14
| end of epoch 155 | time:  7.94s | valid loss  4.42 | valid ppl    82.92
| end of epoch 156 | time:  7.93s | valid loss  4.44 | valid ppl    85.18
| end of epoch 157 | time:  7.94s | valid loss  4.44 | valid ppl    84.80
| end of epoch 158 | time:  7.93s | valid loss  4.44 | valid ppl    84.59
| end of epoch 159 | time:  7.92s | valid loss  4.43 | valid ppl    83.51
| end of epoch 160 | time:  7.93s | valid loss  4.44 | valid ppl    84.79
| end of epoch 161 | time:  7.94s | valid loss  4.46 | valid ppl    86.77
| end of epoch 162 | time:  7.94s | valid loss  4.45 | valid ppl    85.52
| end of epoch 163 | time:  7.94s | valid loss  4.44 | valid ppl    85.19
| end of epoch 164 | time:  7.95s | valid loss  4.46 | valid ppl    86.54
| end of epoch 165 | time:  7.93s | valid loss  4.45 | valid ppl    85.54
| end of epoch 166 | time:  7.95s | valid loss  4.44 | valid ppl    84.98
| end of epoch 167 | time:  7.96s | valid loss  4.45 | valid ppl    85.61
| end of epoch 168 | time:  7.96s | valid loss  4.45 | valid ppl    85.45
| end of epoch 169 | time:  7.97s | valid loss  4.43 | valid ppl    84.28
| end of epoch 170 | time:  7.95s | valid loss  4.45 | valid ppl    85.56
| end of epoch 171 | time:  7.96s | valid loss  4.48 | valid ppl    88.20
| end of epoch 172 | time:  7.91s | valid loss  4.43 | valid ppl    84.21
| end of epoch 173 | time:  7.96s | valid loss  4.46 | valid ppl    86.41
| end of epoch 174 | time:  7.94s | valid loss  4.44 | valid ppl    84.65
| end of epoch 175 | time:  7.94s | valid loss  4.45 | valid ppl    85.68
| end of epoch 176 | time:  7.93s | valid loss  4.45 | valid ppl    85.34
| end of epoch 177 | time:  7.97s | valid loss  4.45 | valid ppl    85.76
| end of epoch 178 | time:  7.98s | valid loss  4.42 | valid ppl    83.31
| end of epoch 179 | time:  7.96s | valid loss  4.46 | valid ppl    86.13
| end of epoch 180 | time:  7.94s | valid loss  4.46 | valid ppl    86.37
| end of epoch 181 | time:  7.93s | valid loss  4.46 | valid ppl    86.80
| end of epoch 182 | time:  7.96s | valid loss  4.49 | valid ppl    88.78
| end of epoch 183 | time:  7.96s | valid loss  4.50 | valid ppl    89.76
| end of epoch 184 | time:  7.96s | valid loss  4.45 | valid ppl    85.81
| end of epoch 185 | time:  7.94s | valid loss  4.47 | valid ppl    87.07
| end of epoch 186 | time:  7.94s | valid loss  4.43 | valid ppl    83.60
| end of epoch 187 | time:  7.94s | valid loss  4.48 | valid ppl    88.01
| end of epoch 188 | time:  7.96s | valid loss  4.45 | valid ppl    85.33
| end of epoch 189 | time:  7.95s | valid loss  4.48 | valid ppl    88.43
| end of epoch 190 | time:  7.96s | valid loss  4.44 | valid ppl    85.14
| end of epoch 191 | time:  7.94s | valid loss  4.46 | valid ppl    86.08
| end of epoch 192 | time:  7.95s | valid loss  4.47 | valid ppl    87.52
| end of epoch 193 | time:  7.94s | valid loss  4.48 | valid ppl    88.53
| end of epoch 194 | time:  7.92s | valid loss  4.44 | valid ppl    85.17
| end of epoch 195 | time:  7.95s | valid loss  4.48 | valid ppl    88.08
| end of epoch 196 | time:  7.99s | valid loss  4.52 | valid ppl    92.06
| end of epoch 197 | time:  7.98s | valid loss  4.45 | valid ppl    85.78
| end of epoch 198 | time:  7.94s | valid loss  4.45 | valid ppl    85.35
| end of epoch 199 | time:  7.97s | valid loss  4.48 | valid ppl    88.42
| end of epoch 200 | time:  7.94s | valid loss  4.47 | valid ppl    87.60
| end of epoch 201 | time:  7.92s | valid loss  4.47 | valid ppl    87.04
| end of epoch 202 | time:  7.92s | valid loss  4.47 | valid ppl    87.41
| end of epoch 203 | time:  7.98s | valid loss  4.48 | valid ppl    88.16
| end of epoch 204 | time:  7.95s | valid loss  4.46 | valid ppl    86.90
| end of epoch 205 | time:  7.95s | valid loss  4.45 | valid ppl    85.82
| end of epoch 206 | time:  7.94s | valid loss  4.47 | valid ppl    87.44
| end of epoch 207 | time:  7.94s | valid loss  4.47 | valid ppl    87.28
| end of epoch 208 | time:  7.97s | valid loss  4.52 | valid ppl    91.50
| end of epoch 209 | time:  7.93s | valid loss  4.51 | valid ppl    90.72
| end of epoch 210 | time:  7.93s | valid loss  4.47 | valid ppl    87.44
| end of epoch 211 | time:  7.94s | valid loss  4.49 | valid ppl    89.15
| end of epoch 212 | time:  7.93s | valid loss  4.47 | valid ppl    87.37
| end of epoch 213 | time:  7.95s | valid loss  4.50 | valid ppl    90.41
| end of epoch 214 | time:  7.95s | valid loss  4.48 | valid ppl    88.44
| end of epoch 215 | time:  7.95s | valid loss  4.49 | valid ppl    89.30
| end of epoch 216 | time:  7.96s | valid loss  4.50 | valid ppl    89.68
| end of epoch 217 | time:  7.95s | valid loss  4.48 | valid ppl    87.86
| end of epoch 218 | time:  7.95s | valid loss  4.49 | valid ppl    88.90
| end of epoch 219 | time:  7.97s | valid loss  4.46 | valid ppl    86.45
| end of epoch 220 | time:  8.00s | valid loss  4.47 | valid ppl    87.06
| end of epoch 221 | time:  7.96s | valid loss  4.50 | valid ppl    90.37
| end of epoch 222 | time:  7.96s | valid loss  4.46 | valid ppl    86.07
| end of epoch 223 | time:  7.96s | valid loss  4.48 | valid ppl    88.04
| end of epoch 224 | time:  7.96s | valid loss  4.50 | valid ppl    90.38
| end of epoch 225 | time:  7.93s | valid loss  4.48 | valid ppl    88.66
| end of epoch 226 | time:  7.93s | valid loss  4.49 | valid ppl    88.94
| end of epoch 227 | time:  7.95s | valid loss  4.46 | valid ppl    86.20
| end of epoch 228 | time:  7.93s | valid loss  4.45 | valid ppl    85.67
| end of epoch 229 | time:  7.93s | valid loss  4.44 | valid ppl    84.74
| end of epoch 230 | time:  7.96s | valid loss  4.48 | valid ppl    88.50
| end of epoch 231 | time:  7.97s | valid loss  4.46 | valid ppl    86.81
| end of epoch 232 | time:  7.95s | valid loss  4.44 | valid ppl    84.98
| end of epoch 233 | time:  7.94s | valid loss  4.48 | valid ppl    87.85
| end of epoch 234 | time:  7.93s | valid loss  4.49 | valid ppl    88.92
| end of epoch 235 | time:  7.91s | valid loss  4.51 | valid ppl    91.04
| end of epoch 236 | time:  7.93s | valid loss  4.49 | valid ppl    89.46
| end of epoch 237 | time:  7.98s | valid loss  4.49 | valid ppl    89.26
| end of epoch 238 | time:  7.96s | valid loss  4.52 | valid ppl    92.24
| end of epoch 239 | time:  7.92s | valid loss  4.48 | valid ppl    88.16
| end of epoch 240 | time:  7.91s | valid loss  4.49 | valid ppl    89.44
| end of epoch 241 | time:  7.94s | valid loss  4.50 | valid ppl    90.06
| end of epoch 242 | time:  7.93s | valid loss  4.48 | valid ppl    88.13
| end of epoch 243 | time:  7.94s | valid loss  4.48 | valid ppl    87.85
| end of epoch 244 | time:  7.94s | valid loss  4.48 | valid ppl    88.60
| end of epoch 245 | time:  7.93s | valid loss  4.47 | valid ppl    87.78
| end of epoch 246 | time:  7.95s | valid loss  4.46 | valid ppl    86.33
| end of epoch 247 | time:  7.96s | valid loss  4.52 | valid ppl    91.77
| end of epoch 248 | time:  7.94s | valid loss  4.48 | valid ppl    88.15
| end of epoch 249 | time:  7.93s | valid loss  4.49 | valid ppl    89.29
| end of epoch 250 | time:  7.93s | valid loss  4.50 | valid ppl    89.76
| end of epoch 251 | time:  7.94s | valid loss  4.50 | valid ppl    90.21
| end of epoch 252 | time:  7.94s | valid loss  4.49 | valid ppl    89.36
| end of epoch 253 | time:  7.95s | valid loss  4.50 | valid ppl    90.13
| end of epoch 254 | time:  7.96s | valid loss  4.47 | valid ppl    87.36
| end of epoch 255 | time:  7.99s | valid loss  4.47 | valid ppl    87.26
| end of epoch 256 | time:  7.95s | valid loss  4.51 | valid ppl    91.15
| end of epoch 257 | time:  7.93s | valid loss  4.45 | valid ppl    86.02
| end of epoch 258 | time:  7.94s | valid loss  4.53 | valid ppl    92.40
| end of epoch 259 | time:  7.96s | valid loss  4.51 | valid ppl    91.30
| end of epoch 260 | time:  7.95s | valid loss  4.49 | valid ppl    89.22
| end of epoch 261 | time:  7.94s | valid loss  4.50 | valid ppl    90.31
| end of epoch 262 | time:  7.95s | valid loss  4.48 | valid ppl    88.42
| end of epoch 263 | time:  7.93s | valid loss  4.51 | valid ppl    90.59
| end of epoch 264 | time:  7.94s | valid loss  4.51 | valid ppl    90.99
| end of epoch 265 | time:  7.94s | valid loss  4.50 | valid ppl    90.36
| end of epoch 266 | time:  7.93s | valid loss  4.52 | valid ppl    92.09
