| end of epoch  85 | time:  9.15s | valid loss  4.53 | valid ppl    92.36
| end of epoch  86 | time:  9.12s | valid loss  4.57 | valid ppl    96.64
| end of epoch  87 | time:  9.13s | valid loss  4.57 | valid ppl    96.17
| end of epoch  88 | time:  9.14s | valid loss  4.55 | valid ppl    94.93
| end of epoch  89 | time:  9.14s | valid loss  4.68 | valid ppl   107.80
| end of epoch  90 | time:  9.13s | valid loss  4.56 | valid ppl    95.42
| end of epoch  91 | time:  9.10s | valid loss  4.58 | valid ppl    97.91
| end of epoch  92 | time:  9.13s | valid loss  4.76 | valid ppl   116.20
| end of epoch  93 | time:  9.16s | valid loss  4.61 | valid ppl   100.27
| end of epoch  94 | time:  9.16s | valid loss  4.62 | valid ppl   101.67
| end of epoch  95 | time:  9.13s | valid loss  4.57 | valid ppl    96.94
| end of epoch  96 | time:  9.13s | valid loss  4.59 | valid ppl    98.51
| end of epoch  97 | time:  9.13s | valid loss  4.61 | valid ppl   100.23
| end of epoch  98 | time:  9.13s | valid loss  4.63 | valid ppl   102.01
| end of epoch  99 | time:  9.13s | valid loss  4.58 | valid ppl    97.06
| end of epoch 100 | time:  9.12s | valid loss  4.55 | valid ppl    94.58
| end of epoch 101 | time:  9.14s | valid loss  4.58 | valid ppl    97.42
| end of epoch 102 | time:  9.12s | valid loss  4.53 | valid ppl    92.45
| end of epoch 103 | time:  9.19s | valid loss  4.57 | valid ppl    96.74
| end of epoch 104 | time:  9.12s | valid loss  4.61 | valid ppl   100.38
| end of epoch 105 | time:  9.12s | valid loss  4.60 | valid ppl    99.14
| end of epoch 106 | time:  9.16s | valid loss  4.60 | valid ppl    99.31
| end of epoch 107 | time:  9.18s | valid loss  4.54 | valid ppl    93.68
| end of epoch 108 | time:  9.15s | valid loss  4.59 | valid ppl    98.68
| end of epoch 109 | time:  9.13s | valid loss  4.61 | valid ppl   100.12
| end of epoch 110 | time:  9.13s | valid loss  4.62 | valid ppl   101.85
| end of epoch 111 | time:  9.13s | valid loss  4.61 | valid ppl   100.80
| end of epoch 112 | time:  9.12s | valid loss  4.56 | valid ppl    95.62
| end of epoch 113 | time:  9.16s | valid loss  4.59 | valid ppl    98.09
| end of epoch 114 | time:  9.16s | valid loss  4.63 | valid ppl   103.01
| end of epoch 115 | time:  9.15s | valid loss  4.57 | valid ppl    96.61
| end of epoch 116 | time:  9.11s | valid loss  4.63 | valid ppl   102.85
| end of epoch 117 | time:  9.10s | valid loss  4.58 | valid ppl    97.70
| end of epoch 118 | time:  9.08s | valid loss  4.58 | valid ppl    97.12
| end of epoch 119 | time:  9.13s | valid loss  4.56 | valid ppl    95.34
| end of epoch 120 | time:  9.13s | valid loss  4.61 | valid ppl    99.99
| end of epoch 121 | time:  9.17s | valid loss  4.59 | valid ppl    98.10
| end of epoch 122 | time:  9.19s | valid loss  4.59 | valid ppl    98.14
| end of epoch 123 | time:  9.16s | valid loss  4.66 | valid ppl   105.61
