| end of epoch  85 | time: 13.22s | valid loss  3.92 | valid ppl    50.20
| end of epoch  86 | time: 13.23s | valid loss  3.90 | valid ppl    49.45
| end of epoch  87 | time: 13.22s | valid loss  3.91 | valid ppl    49.92
| end of epoch  88 | time: 13.22s | valid loss  3.90 | valid ppl    49.19
| end of epoch  89 | time: 13.23s | valid loss  3.91 | valid ppl    49.91
| end of epoch  90 | time: 13.23s | valid loss  3.89 | valid ppl    48.77
| end of epoch  91 | time: 13.24s | valid loss  3.91 | valid ppl    49.83
| end of epoch  92 | time: 13.23s | valid loss  3.91 | valid ppl    49.65
| end of epoch  93 | time: 13.22s | valid loss  3.91 | valid ppl    50.08
| end of epoch  94 | time: 13.22s | valid loss  3.92 | valid ppl    50.58
| end of epoch  95 | time: 13.23s | valid loss  3.90 | valid ppl    49.63
| end of epoch  96 | time: 13.24s | valid loss  3.91 | valid ppl    49.84
| end of epoch  97 | time: 13.23s | valid loss  3.91 | valid ppl    49.73
| end of epoch  98 | time: 13.24s | valid loss  3.92 | valid ppl    50.45
| end of epoch  99 | time: 13.22s | valid loss  3.90 | valid ppl    49.45
| end of epoch 100 | time: 13.23s | valid loss  3.90 | valid ppl    49.40
| end of epoch 101 | time: 13.23s | valid loss  3.90 | valid ppl    49.19
| end of epoch 102 | time: 13.22s | valid loss  3.89 | valid ppl    49.15
| end of epoch 103 | time: 13.23s | valid loss  3.92 | valid ppl    50.51
| end of epoch 104 | time: 13.23s | valid loss  3.91 | valid ppl    49.99
| end of epoch 105 | time: 13.23s | valid loss  3.93 | valid ppl    51.12
| end of epoch 106 | time: 13.22s | valid loss  3.93 | valid ppl    50.66
| end of epoch 107 | time: 13.23s | valid loss  3.90 | valid ppl    49.36
| end of epoch 108 | time: 13.23s | valid loss  3.90 | valid ppl    49.40
| end of epoch 109 | time: 13.22s | valid loss  3.89 | valid ppl    48.76
| end of epoch 110 | time: 13.24s | valid loss  3.91 | valid ppl    49.71
| end of epoch 111 | time: 13.23s | valid loss  3.90 | valid ppl    49.34
| end of epoch 112 | time: 13.24s | valid loss  3.91 | valid ppl    49.80
| end of epoch 113 | time: 13.22s | valid loss  3.91 | valid ppl    49.85
| end of epoch 114 | time: 13.23s | valid loss  3.92 | valid ppl    50.28
| end of epoch 115 | time: 13.23s | valid loss  3.90 | valid ppl    49.29
| end of epoch 116 | time: 13.22s | valid loss  3.94 | valid ppl    51.46
| end of epoch 117 | time: 13.24s | valid loss  3.90 | valid ppl    49.29
| end of epoch 118 | time: 13.23s | valid loss  3.92 | valid ppl    50.36
| end of epoch 119 | time: 13.24s | valid loss  3.89 | valid ppl    48.90
| end of epoch 120 | time: 13.23s | valid loss  3.92 | valid ppl    50.56
| end of epoch 121 | time: 13.22s | valid loss  3.90 | valid ppl    49.46
| end of epoch 122 | time: 13.21s | valid loss  3.89 | valid ppl    49.08
| end of epoch 123 | time: 13.21s | valid loss  3.93 | valid ppl    50.71
| end of epoch 124 | time: 13.22s | valid loss  3.88 | valid ppl    48.64
| end of epoch 125 | time: 13.23s | valid loss  3.92 | valid ppl    50.19
| end of epoch 126 | time: 13.23s | valid loss  3.91 | valid ppl    50.01
| end of epoch 127 | time: 13.23s | valid loss  3.93 | valid ppl    50.66
