Title,Description,Visible Url,Url
"Samsung Galaxy Tab S2 - Samsung.com‎","Improved Power &amp; Speed With Octa-Core Processing. Available Now","http://www.samsung.com/us/explore/tab-s2-features-and-specs/?cid=ppc-","www.samsung.com/TabS2"
"The New Samsung GS7 edge - The New Galaxy Is Here‎","The GS7 edge. Available Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Galaxy TabPro S - Samsung.com‎","The Powerful TabPro S With An Intel® Core™ m3 Processor. Buy Now.","http://www.samsung.com/us/explore/tab-pro-s-features-and-specs/?cid=ppc-","www.samsung.com/TabProS"
"The New Samsung GS7 edge - Samsung.com‎","The Water Resistant GS7 edge. Our Best Mobile <b>Phone</b> Yet. Learn More.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung laptop Official - Samsung Laptop Sale Event‎","Visit and get super discount now !","http://www.samsung.com/us/computer/laptops","www.samsung.com/us/computer/laptops"
"The New Samsung GS7 edge - Samsung.com‎","Looking For The Latest From <b>Samsung</b>? The GS7 edge. Buy Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Galaxy TabPro S - Samsung.com‎","Do More With The Intel® Core™ m3 Processor On The TabPro S. Buy Now.","http://www.samsung.com/us/explore/tab-pro-s-features-and-specs/?cid=dis-mb-tbl-0416-2001325","www.samsung.com/TabProS"
"Samsung laptop Official - Discover latest notebook from here‎","Meet your needs for all usage type","http://www.samsung.com/us/computer/laptops","www.samsung.com/us/computer/laptops"
"Samsung Galaxy Note5 - Samsung.com‎","The <b>Galaxy</b> Note5. Smarter, Faster Multitasking. Available Now.","http://www.samsung.com/us/explore/galaxy-note-5-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Galaxy Note5 - Samsung.com‎","The <b>Galaxy</b> Note5: Do More. Available Now.","http://www.samsung.com/us/explore/galaxy-note-5-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Galaxy S7 edge - Samsung.com‎","Looking For The Latest From <b>Samsung</b>? The GS7 edge. Buy Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Galaxy Note5 - Samsung.com‎","Everyday Multitasking? Get <b>Galaxy</b> Note5. Available Now.","http://www.samsung.com/us/explore/galaxy-note-5-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Business Offer - Samsung.com‎","Get Free KNOX Workspace &amp; Mobile Iron EMM Licenses. Learn More!","http://www.samsung.com/us/business/discover/verizon-mobile-promotions/?cid=ppc-","www.samsung.com/BusinessBundle"
"The Samsung GS7 edge - Samsung.com‎","Capture The Night On Our Best Phone Yet. The New GS7 edge. Buy Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"The New Samsung GS7 edge - Samsung.com‎","The New Galaxy Is Here. The GS7 edge. Available Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"The New Samsung GS7 edge - Samsung.com‎","Looking For The Latest From Samsung? The GS7 edge. Buy Now","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung laptop Official - samsung.com‎","Discover latest <b>notebook</b> from here Meet your needs for all usage type","http://www.samsung.com/us/computer/laptops","www.samsung.com/us/computer/laptops"
"Samsung Galaxy S7 edge - The New GS7 edge‎","Buy Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Pay - Samsung.com‎","Works At More Places Than Any Other <b>Mobile Payment</b> Service. Learn More.","http://www.samsung.com/us/explore/latest-galaxy-smartphones/?cid=ppc-","www.samsung.com/Pay"
"Samsung® Best UHD TV Ever - Samsung.com‎","Greater Performance &amp; Technology. Shop Next Level 4k Picture Quality!","http://www.samsung.com/us/experience/9series-tv/","www.samsung.com/UHD_TV"
"Samsung TV Specs - The All-New Samsung® 4K SUHD TV‎","Our Brightest Picture Quality Yet.","http://www.samsung.com/us/experience/9series-tv/","www.samsung.com/SUHD_TV"
"Samsung GS7 edge Phone - Samsung.com‎","Capture The Night On Our Best <b>Phone</b> Yet. The New GS7 edge. Buy Now.","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"The Samsung Gear Fit2 - samsung.com‎","Track Everything On The Gear Fit2, Our Best <b>Fitness Tracker</b>. Buy Now.","http://www.samsung.com/us/explore/gear-fit2/?cid=ppc-","www.samsung.com/Gear-Fit2"
"Samsung Galaxy TabPro S - Samsung.com‎","Do More With The Intel® Core™ m3 Processor On Our TabPro S. Buy Now.","http://www.samsung.com/us/explore/tab-pro-s-features-and-specs/?cid=dis-mb-tbl-0416-2001325","www.samsung.com/TabProS"
"The New Samsung GS7 edge‎","Looking For The Latest From Samsung? The GS7 edge. Buy Now","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"Samsung Android Phones - The GS7 edge - Samsung.com‎","Capture The Night On Our Best <b>Android Phone</b> Yet. Buy Now","http://www.samsung.com/us/explore/galaxy-s7-features-and-specs/?cid=ppc-","www.samsung.com/GALAXY"
"All-New Samsung® UHD TV - Samsung.com‎","Greater Performance &amp; Technology. Shop Next Level 4k Picture Quality!","http://www.samsung.com/us/experience/9series-tv/","www.samsung.com/UHD_TV"
"Samsung® Memory &amp; Storage - Samsung.com‎","One of the Fastest &amp; Most Reliable SSDs on the Market. Learn More!","http://www.samsung.com/us/business/computing/solid-state-drives/","www.samsung.com/Business"
"Samsung Galaxy TabPro S‎","The Powerful TabPro S With An Intel® Core™ m3 Processor. Buy Now.","http://www.samsung.com/us/explore/tab-pro-s-features-and-specs/?cid=dis-mb-tbl-0416-2001325","www.samsung.com/TabProS"
"Samsung Galaxy TabPro S - Samsung.com‎","TabPro S 2-In-1. Power Of A Laptop, Portability Of A Tablet. Buy Now.","http://www.samsung.com/us/explore/tab-pro-s-features-and-specs/?cid=ppc-","www.samsung.com/TabProS"
